,daily_steps,pct_active,pct_home,distance_km,battery_drain_pct,total_sunshine_s,total_precip_mm,mean_temp_c,mean_wind_ms,mean_pressure_hpa,mean_cloud_pct
daily_steps,0.0,0.0938,0.0938,0.7017,0.2289,0.0713,0.0436,0.0362,0.1194,0.0713,0.1482
pct_active,0.0938,0.0,0.879,0.4821,0.2682,1.0,0.1451,0.0234,0.9394,0.3833,0.8192
pct_home,0.0938,0.879,0.0,0.7017,0.7283,0.0234,0.3817,0.5887,0.0137,0.2939,0.1194
distance_km,0.7017,0.4821,0.7017,0.0,0.7283,0.9394,0.672,0.4316,0.5345,0.9394,0.7017
battery_drain_pct,0.2289,0.2682,0.7283,0.7283,0.0,0.5307,0.2041,0.1436,0.8477,0.2289,0.3553
total_sunshine_s,0.0713,1.0,0.0234,0.9394,0.5307,0.0,0.1802,0.3833,0.0137,0.0522,0.0025
total_precip_mm,0.0436,0.1451,0.3817,0.672,0.2041,0.1802,0.0,0.0528,0.2398,0.0115,0.3313
mean_temp_c,0.0362,0.0234,0.5887,0.4316,0.1436,0.3833,0.0528,0.0,0.8192,0.0362,0.4821
mean_wind_ms,0.1194,0.9394,0.0137,0.5345,0.8477,0.0137,0.2398,0.8192,0.0,0.2939,0.0522
mean_pressure_hpa,0.0713,0.3833,0.2939,0.9394,0.2289,0.0522,0.0115,0.0362,0.2939,0.0,0.1194
mean_cloud_pct,0.1482,0.8192,0.1194,0.7017,0.3553,0.0025,0.3313,0.4821,0.0522,0.1194,0.0
