,daily_steps,pct_active,pct_home,distance_km,battery_drain_pct,total_sunshine_s,total_precip_mm,mean_temp_c,mean_wind_ms,mean_pressure_hpa,mean_cloud_pct
daily_steps,1.0,0.679,-0.679,-0.179,0.523,0.714,-0.768,0.786,-0.643,0.714,-0.607
pct_active,0.679,1.0,-0.071,-0.321,0.487,0.0,-0.611,0.821,0.036,0.393,0.107
pct_home,-0.679,-0.071,1.0,0.179,0.162,-0.821,0.394,-0.25,0.857,-0.464,0.643
distance_km,-0.179,-0.321,0.179,1.0,0.162,0.036,-0.197,-0.357,-0.286,-0.036,-0.179
battery_drain_pct,0.523,0.487,0.162,0.162,1.0,0.288,-0.547,0.613,-0.09,0.523,-0.414
total_sunshine_s,0.714,0.0,-0.821,0.036,0.288,1.0,-0.571,0.393,-0.857,0.75,-0.929
total_precip_mm,-0.768,-0.611,0.394,-0.197,-0.547,-0.571,1.0,-0.749,0.512,-0.867,0.433
mean_temp_c,0.786,0.821,-0.25,-0.357,0.613,0.393,-0.749,1.0,-0.107,0.786,-0.321
mean_wind_ms,-0.643,0.036,0.857,-0.286,-0.09,-0.857,0.512,-0.107,1.0,-0.464,0.75
mean_pressure_hpa,0.714,0.393,-0.464,-0.036,0.523,0.75,-0.867,0.786,-0.464,1.0,-0.643
mean_cloud_pct,-0.607,0.107,0.643,-0.179,-0.414,-0.929,0.433,-0.321,0.75,-0.643,1.0
