time,seconds_elapsed,steps,local_time,day,session,daily_steps,day_of_week
1773395935560382000,3427.7413818359373,12,2026-03-13 09:58:55.560000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773395938107108000,3430.288108154297,12,2026-03-13 09:58:58.107000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773395940653873000,3432.8348728027345,12,2026-03-13 09:59:00.653000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773395943200673000,3435.3816730957033,12,2026-03-13 09:59:03.200000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773395945747507500,3437.9285075683592,12,2026-03-13 09:59:05.747000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396554338517200,4046.519517333984,12,2026-03-13 10:09:14.338000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396556884802600,4049.0658024902345,22,2026-03-13 10:09:16.884000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396559431075600,4051.612075683594,26,2026-03-13 10:09:19.431000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396561981078500,4054.162078613281,30,2026-03-13 10:09:21.981000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396564527367700,4056.708367675781,33,2026-03-13 10:09:24.527000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396567073646300,4059.2546462402343,35,2026-03-13 10:09:27.073000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396569619912700,4061.800912597656,37,2026-03-13 10:09:29.619000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396572166169900,4064.347169921875,37,2026-03-13 10:09:32.166000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396579804885800,4071.9858857421873,37,2026-03-13 10:09:39.804000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396582351108600,4074.5321086425784,37,2026-03-13 10:09:42.351000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396979605757400,4471.786757324218,37,2026-03-13 10:16:19.605000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396982152496400,4474.33349633789,37,2026-03-13 10:16:22.152000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396984699211800,4476.880211669922,37,2026-03-13 10:16:24.699000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396987245891000,4479.426891113281,43,2026-03-13 10:16:27.245000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396989792538600,4481.973538574219,43,2026-03-13 10:16:29.792000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396992339152100,4484.52015209961,43,2026-03-13 10:16:32.339000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396994885737700,4487.0667377929685,43,2026-03-13 10:16:34.885000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396997432307700,4489.613307617187,43,2026-03-13 10:16:37.432000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773396999979497000,4492.160497070313,47,2026-03-13 10:16:39.979000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397002530397400,4494.711397460937,47,2026-03-13 10:16:42.530000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397005076951000,4497.257950927735,52,2026-03-13 10:16:45.076000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397007624123100,4499.805123046875,52,2026-03-13 10:16:47.624000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397010170652000,4502.351651855469,52,2026-03-13 10:16:50.170000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397012717154000,4504.898154052735,52,2026-03-13 10:16:52.717000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397015264257800,4507.4452578125,52,2026-03-13 10:16:55.264000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397017810771500,4509.991771484375,58,2026-03-13 10:16:57.810000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397020357355000,4512.538354980469,61,2026-03-13 10:17:00.357000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397022904608000,4515.085607910156,65,2026-03-13 10:17:02.904000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397025451239000,4517.632239013672,65,2026-03-13 10:17:05.451000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397027997856500,4520.178856445313,69,2026-03-13 10:17:07.997000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397030544456400,4522.7254565429685,74,2026-03-13 10:17:10.544000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397033091033600,4525.272033691406,79,2026-03-13 10:17:13.091000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397035637587500,4527.818587402344,84,2026-03-13 10:17:15.637000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397038184728000,4530.365728027344,88,2026-03-13 10:17:18.184000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
1773397040732494600,4532.913494628906,88,2026-03-13 10:17:20.732000+00:00,1,92_Bloemfontein_Road-2026-03-13_09-01-47-de9009a1c11944b6a568ef9e14eefab9 (1),7943,Friday
